Name,Test Number,Answer,Bucket
Object31,,Not Cell,Apoptotic CTC
Object117,,Not Cell,White Blood Cell
Object41,,Not Cell,Apoptotic CTC
Object166,,Cell,CTC
Object167,,Cell,CTC
Object79,,Not Cell,Fluorescent Artifact
Object84,,Not Cell,Fluorescent Artifact
Object94,,Not Cell,Fluorescent Artifact
Object116,,Not Cell,Fluorescent Artifact
Object119,,Not Cell,Fluorescent Artifact
Object164,,Not Cell,White Blood Cell
Object165,,Not Cell,White Blood Cell
Object168,,Cell,CTC
Object169,,Cell,CTC
Object170,,Cell,CTC
Object171,,Not Cell,White Blood Cell
Object172,,Not Cell,Apoptotic CTC
Object173,,Not Cell,White Blood Cell
Object174,,Not Cell,White Blood Cell
Object175,,Not Cell,White Blood Cell
Object176,,Not Cell,Fluorescent Artifact
Object177,,Not Cell,CK/EpCAM Foci
Object178,,Cell,CTC
Object179,,Cell,CTC
Object180,,Cell,CTC
Object181,,Not Cell,CK/EpCAM Foci
Object182,,Not Cell,CK/EpCAM Foci
Object183,,Not Cell,White Blood Cell
Object184,,Not Cell,White Blood Cell
Object185,,Not Cell,White Blood Cell
Object186,,Not Cell,White Blood Cell
Object192,,Not Cell,CK/EpCAM Foci
Object196,,Cell,CTC
Object197,,Cell,CTC
Object198,,Cell,CTC
Object199,,Cell,CTC
Object200,,Cell,CTC
Object201,,Cell,CK/EpCAM Foci
Object202,,Not Cell,Fluorescent Artifact
Object203,,Not Cell,CK/EpCAM Foci
Object205,,Cell,CTC
Object206,,Not Cell,Fluorescent Artifact
Object207,,Not Cell,CK/EpCAM Foci
Object208,,Not Cell,CK/EpCAM Foci
Object209,,Not Cell,Fluorescent Artifact
Object212,,Not Cell,CK/EpCAM Foci
Object213,,Not Cell,Fluorescent Artifact
Object98,,Not Cell,White Blood Cell
Object100,,Not Cell,White Blood Cell
Object101,,Not Cell,White Blood Cell
